Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,10/17/2020,12:16 pm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16166703,,,,,,,,,,,,,,,
Batch,201017_Repeats_plate4,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,Tegwen,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Tegwen_13plex,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,10/17/2020 12:16:46 PM,,,,,,,,,,,,,,,
BatchStopTime,10/17/2020 12:26:25 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Mylar plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,13,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 10/17/2020 11:01:49,,,,,,,,,,,,,,,
Last VER Verification,Passed 10/17/2020 11:02:51,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 10/17/2020 11:04:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B75277,06/25/2021,10/17/2020 11:01:49 AM,21.3,21.3,21.3,21.3,151,173,270,270,0.00708,0.00707,0.00429,0.12565,Pass,MAGPX16166703
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,16,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,Ang-1,Ang-2,Azu,CH3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,Total Events,
"1(1,A1)",DBS1,349,65,1633,7808,4420.5,94,49,180.5,73,87,62,113,64,2069,
"2(1,B1)",DBS2,400,67,1618,8397,7457.5,93,49,155,103,126,63,119.5,73,1951,
"3(1,C1)",DBS3,584,57.5,1647,8211.5,6580,105,40,114,44,39,48,109,52,2177,
"4(1,D1)",DBS4,316,51,1520,7797,4274,101,39,97,52,37,50,100,49,1731,
"5(1,E1)",High_DBS,2115.5,1051,1914,11902,9400,741,3191,491,345,1608,69,302.5,525.5,1617,
"6(1,F1)",Med_DBS,1989.5,273,1908,11972,9367,407,1476,268,153,1243,60,304.5,303,2320,
"7(1,G1)",Low_DBS,1992,226,1911,11210,9210,300,311,205,104,592.5,57,267,131.5,1835,
"8(1,H1)",Blank_DBS,2047,228,1926,10339,8534.5,304,88,196,117,71,64,275,121,2013,
"9(1,A2)",Std1,6258,8551,4248,10220,6730,6588.5,5720,7531,9905,2085,1214,2496,4529.5,1634,
"10(1,B2)",Std2,2698,5596.5,4567,11238.5,4689,4540,4686,5290.5,6337,1883,385,945,2521,2302,
"11(1,C2)",Std3,616,404,3425,6169.5,2499,1845,2075.5,1832.5,1596,1007,122,294,818,2431,
"12(1,D2)",Std4,198,144,3443,1431,2104.5,616.5,737,441,345,336.5,75,173,243,2399,
"13(1,E2)",Std5,115.5,89,2320,247,1448,236,251,168,103,123,66,153,82,2318,
"14(1,F2)",Std6,71,59,1760.5,65,1171,109,89.5,97,50,55,64,151,45.5,2254,
"15(1,G2)",Std7,67,51,1205,40,992,75,48,89,41,39,45,150,37,2446,
"16(1,H2)",Std8,74.5,45,1366.5,38,1033.5,67.5,37,89,40,33,57,159,34,2968,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,Ang-1,Ang-2,Azu,CH3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,Total Events,
"1(1,A1)",DBS1,349,65,1633,7808,4420.5,94,49,180.5,73,87,62,113,64,2069,
"2(1,B1)",DBS2,400,67,1618,8397,7457.5,93,49,155,103,126,63,119.5,73,1951,
"3(1,C1)",DBS3,584,57.5,1647,8211.5,6580,105,40,114,44,39,48,109,52,2177,
"4(1,D1)",DBS4,316,51,1520,7797,4274,101,39,97,52,37,50,100,49,1731,
"5(1,E1)",High_DBS,2115.5,1051,1914,11902,9400,741,3191,491,345,1608,69,302.5,525.5,1617,
"6(1,F1)",Med_DBS,1989.5,273,1908,11972,9367,407,1476,268,153,1243,60,304.5,303,2320,
"7(1,G1)",Low_DBS,1992,226,1911,11210,9210,300,311,205,104,592.5,57,267,131.5,1835,
"8(1,H1)",Blank_DBS,2047,228,1926,10339,8534.5,304,88,196,117,71,64,275,121,2013,
"9(1,A2)",Std1,6258,8551,4248,10220,6730,6588.5,5720,7531,9905,2085,1214,2496,4529.5,1634,
"10(1,B2)",Std2,2698,5596.5,4567,11238.5,4689,4540,4686,5290.5,6337,1883,385,945,2521,2302,
"11(1,C2)",Std3,616,404,3425,6169.5,2499,1845,2075.5,1832.5,1596,1007,122,294,818,2431,
"12(1,D2)",Std4,198,144,3443,1431,2104.5,616.5,737,441,345,336.5,75,173,243,2399,
"13(1,E2)",Std5,115.5,89,2320,247,1448,236,251,168,103,123,66,153,82,2318,
"14(1,F2)",Std6,71,59,1760.5,65,1171,109,89.5,97,50,55,64,151,45.5,2254,
"15(1,G2)",Std7,67,51,1205,40,992,75,48,89,41,39,45,150,37,2446,
"16(1,H2)",Std8,74.5,45,1366.5,38,1033.5,67.5,37,89,40,33,57,159,34,2968,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,Ang-1,Ang-2,Azu,CH3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,Total Events,
"1(1,A1)",DBS1,143,113,161,152,156,118,138,178,130,244,220,163,153,2069,
"2(1,B1)",DBS2,118,150,141,126,118,117,139,160,158,222,204,154,144,1951,
"3(1,C1)",DBS3,145,120,177,162,159,116,143,156,186,227,280,163,143,2177,
"4(1,D1)",DBS4,105,119,158,100,119,97,134,127,147,201,194,126,104,1731,
"5(1,E1)",High_DBS,102,95,136,108,120,94,107,111,139,197,190,108,110,1617,
"6(1,F1)",Med_DBS,150,150,187,138,177,133,177,183,181,271,245,168,160,2320,
"7(1,G1)",Low_DBS,117,117,146,117,131,138,133,129,136,216,194,137,124,1835,
"8(1,H1)",Blank_DBS,136,136,160,134,142,125,142,139,127,220,239,153,160,2013,
"9(1,A2)",Std1,84,73,135,119,93,96,99,144,130,171,197,135,158,1634,
"10(1,B2)",Std2,159,162,175,146,171,180,149,158,189,250,245,145,173,2302,
"11(1,C2)",Std3,153,158,194,164,176,179,164,170,180,267,242,189,195,2431,
"12(1,D2)",Std4,159,167,201,165,144,156,135,193,187,272,275,173,172,2399,
"13(1,E2)",Std5,140,145,185,173,165,159,141,161,183,240,261,192,173,2318,
"14(1,F2)",Std6,133,149,172,143,141,161,138,179,199,252,250,167,170,2254,
"15(1,G2)",Std7,143,150,182,183,141,143,171,168,210,253,296,207,199,2446,
"16(1,H2)",Std8,192,216,252,202,204,192,215,217,204,330,309,232,203,2968,
,,,,,,,,,,,,,,,,
DataType:,Avg Net MFI,,,,,,,,,,,,,,,
Sample,Ang-1,Ang-2,Azu,CH3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,,,
DBS1,349,65,1633,7808,4420.5,94,49,180.5,73,87,62,113,64,,,
