Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,10/17/2020,11:06 am,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16166703,,,,,,,,,,,,,,,
Batch,201017_Repeats_plate2,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,Tegwen,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Tegwen_13plex,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,10/17/2020 11:06:28 AM,,,,,,,,,,,,,,,
BatchStopTime,10/17/2020 12:06:24 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Mylar plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,13,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 10/17/2020 11:01:49,,,,,,,,,,,,,,,
Last VER Verification,Passed 10/17/2020 11:02:51,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 10/17/2020 11:04:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B75277,06/25/2021,10/17/2020 11:01:49 AM,21.3,21.3,21.3,21.3,151,173,270,270,0.00708,0.00707,0.00429,0.12565,Pass,MAGPX16166703
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,96,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,Ang-1,Ang-2,Azu,CH3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,Total Events,
"1(1,A1)",Std1,7030,9449.5,4356.5,11121,6416,7688,6029,7846.5,9680,2159,1339,2968,5260,2180,
"2(1,B1)",Std2,3161,5938,4755,11546,5087.5,5119,4985,5714,7040,1975,472,1172,2881,2159,
"3(1,C1)",Std3,703.5,413,3776,6628,2569,1875,2173,1929,1751,1096,150,338,903,2071,
"4(1,D1)",Std4,236,173,3837,1595,2166,621,767.5,470,416.5,357,102,259.5,250.5,2105,
"5(1,E1)",Std5,113,84,2292,270,1398.5,237.5,253,179,127,127,68,157,87,1584,
"6(1,F1)",Std6,77.5,59,1617,71.5,1105,105,94,117,55.5,56,63,144,46,2649,
"7(1,G1)",Std7,59,54,1236,43,878.5,73,48,110,44,40,45,132,37,2697,
"8(1,H1)",Std8,65,41,1102,39,907,66,35,85,40,34,56,133,35,1966,
"9(1,A2)",Std1,6976,9881.5,4413.5,11146.5,7159.5,7792,6351.5,7892,10096,2157,1339,3005.5,5136.5,2172,
"10(1,B2)",Std2,3134,5399,4924,11599,4890,5033,4893.5,5569,7290.5,2028,488,1157.5,2741,2073,
"11(1,C2)",Std3,592.5,372,3682.5,6086.5,2472,1835,1991,1764,1460.5,965,126,282,787,1801,
"12(1,D2)",Std4,216,158.5,3419,1530,2057,610,705,461,388,361.5,73.5,159,234,1931,
"13(1,E2)",Std5,115,91,2395.5,256,1496,238,246,174,116,125,66,157,85,2444,
"14(1,F2)",Std6,94.5,64,1889,68,1082,114,91,122,54,56,81,201,48,1981,
"15(1,G2)",Std7,68,51,1305.5,40.5,904,77.5,51.5,95,44,39,45,165,37,2482,
"16(1,H2)",Std8,63,42,1175,39,992,71,40,74,44,33,58,142,37.5,1990,
"17(1,A3)",Std1,7025,9235,4178,11047,6746,7591.5,6168.5,7975.5,9847,2223,1384.5,2689,4966,2013,
"18(1,B3)",Std2,3027.5,5838,4533,11208,4761,5004,4886,5555,6833,1916,468,1126,2724,2386,
"19(1,C3)",Std3,736,448,3765.5,6730,2608,1965,2226,1955,1683,1081,144,336,909,2542,
"20(1,D3)",Std4,233.5,169,3498,1536,2085.5,656.5,780,479,410,363.5,88,214,251,2544,
"21(1,E3)",Std5,117,88,2407,275.5,1566,236,256,169,121,129,65,146,87,2788,
"22(1,F3)",Std6,90,60,1795,72,1127,113,96,115,57,61,71.5,171,52,2363,
"23(1,G3)",Std7,71.5,50,1240,41,960,76,50,108.5,43,39,47,144,37,2706,
"24(1,H3)",Std8,71.5,41,1207.5,39,1078,67,36,84,43,35,59,154,35,2187,
"25(1,A4)",Std1,7544,8562.5,4165.5,10853,6959,7810.5,6154,7790,9558,2145.5,1287.5,2820,5258.5,2241,
"26(1,B4)",Std2,3109,5396,4724,11757,4916.5,4797,4911,5418,6489,2032,446.5,1025,2710.5,1929,
"27(1,C4)",Std3,650,359,3501,6209.5,2377,1656,2062,1695,1531,974,131.5,288.5,805,1886,
"28(1,D4)",Std4,218,162,3473,1465.5,2112,604,753.5,481,388,355,79,164,248,2408,
"29(1,E4)",Std5,107,90.5,2329.5,249.5,1394,223,244.5,171,113,123,67.5,148,83,2440,
"30(1,F4)",Std6,83,62.5,1720,69,1125,114,88,104.5,55.5,54,86,210,49,2019,
"31(1,G4)",Std7,69,50,1264,41,976.5,76,49,102,43,38,50,158.5,37,2655,
"32(1,H4)",Std8,87.5,47,1450,39,1139,72,37.5,79.5,44,34,78,258,43,754,
"33(1,A5)",Std1,6361,9658.5,4234,11401,6512,7375,6200,7841.5,10008,2131.5,1284,2288,4980,2158,
"34(1,B5)",Std2,2898.5,4926,4766.5,10929,4420.5,4537,4517.5,5182,6502.5,1944.5,425,982,2550,2117,
"35(1,C5)",Std3,681,403.5,3644.5,6391,2530,1857,2118,1806,1584.5,1032,131,321,856,2592,
"36(1,D5)",Std4,217,172.5,3461,1525,2134,635.5,741,473,412,362,73.5,168,247,2629,
"37(1,E5)",Std5,116,90,2503,258,1491,224,248.5,158,109,124,68,167,89,2773,
"38(1,F5)",Std6,72,54,1524.5,61,1045,103,84,103,51,51,66,142.5,42,1900,
"39(1,G5)",Std7,72,51.5,1442,42,925,75,48,100,43,39,47,167.5,38,2789,
"40(1,H5)",Std8,69,42,1477,40,1178,71,41,81.5,48,33,69,219,42,684,
"41(1,A6)",Std1,6396.5,7791,4188,11204.5,6540,6562,5880,7453,8830,2000,1149,1778.5,3362,2243,
"42(1,B6)",Std2,2534,4387.5,4533,10892,3721,3684,3832,4817,5930,1727,465.5,795,1808.5,2449,
"43(1,C6)",Std3,605,347,3493.5,6236,2396,1718,2058,1733,1513.5,974,140,305,841,2496,
"44(1,D6)",Std4,226,166,3569,1501.5,2012,612,733,472,395,354,80,193,241.5,2574,
"45(1,E6)",Std5,110.5,87,2301,260,1467,229,251,160,116,125,63,147,80,2831,
"46(1,F6)",Std6,78.5,59,1763,63.5,1074,104,85,102,51,52,72,162,46,2217,
"47(1,G6)",Std7,89,54,1470,41,941.5,76.5,50,101,45,38,52,216.5,38,2564,
"48(1,H6)",Std8,68,42,1234,37,1064,65,37,81.5,43,34,60,159,35,2863,
"49(1,A7)",Std1,6316,6977.5,3905,10950.5,5864,6514.5,5731,7678,8984,2054.5,1262,1992,4133,2335,
"50(1,B7)",Std2,2683.5,4641,4407.5,11039.5,4030,4394,4465,5132.5,6162,1833.5,453.5,921.5,2476.5,2109,
"51(1,C7)",Std3,617,387,3389,6344,2446,1786,2066.5,1817,1641,980,139,296,811,2505,
"52(1,D7)",Std4,245.5,167.5,3677,1556,2029.5,650,767,494.5,414.5,365,93.5,252,264,2511,
"53(1,E7)",Std5,103,85,2245,245,1477,214,220,161,109,112,68,146,77,2749,
"54(1,F7)",Std6,82,55,1629,66.5,1024.5,107,92,103,51,54,63.5,150,46,1727,
"55(1,G7)",Std7,65,47,1216.5,40,881,73,47,96,43,40,45.5,140.5,36,2647,
"56(1,H7)",Std8,81,45,1315,39,1078,66,37,87.5,44,34,65.5,171,38,1569,
